Data,Historico,Fechamento,Variacao do dia (%),Abertura,Minimo,Medio,Maximo,Volume,Negocios
03/05/2018,8.58,8.58,-3.7,8.96,8.56,8.7,8.97,68304643,10499
02/05/2018,8.91,8.91,1.48,8.88,8.84,9.02,9.16,84597317,12515
30/04/2018,8.78,8.78,-1.35,8.97,8.67,8.86,9.05,75779595,12314
27/04/2018,8.9,8.9,-3.47,9.35,8.88,9.05,9.38,101340779,16769
26/04/2018,9.22,9.22,0.88,9.24,9.15,9.23,9.34,51757320,6946
25/04/2018,9.14,9.14,0.11,9.05,8.91,9.07,9.2,57674842,8158
24/04/2018,9.13,9.13,0,9.28,9.05,9.18,9.33,67363624,7206
23/04/2018,9.13,9.13,0.44,9.12,8.97,9.14,9.29,53423727,6893
20/04/2018,9.09,9.09,-1.94,9.29,8.95,9.26,9.42,297801062,10489
19/04/2018,9.27,9.27,0.43,9.38,9.22,9.3,9.45,81737134,9580
18/04/2018,9.23,9.23,6.21,8.9,8.81,9.11,9.3,119128914,13182
17/04/2018,8.69,8.69,2,8.6,8.51,8.67,8.75,38328817,7487
16/04/2018,8.52,8.52,-2.74,8.74,8.5,8.57,8.79,38970050,6599
13/04/2018,8.76,8.76,-1.13,8.92,8.7,8.81,8.95,44436034,7979
12/04/2018,8.86,8.86,0.8,8.85,8.8,8.88,8.96,42545527,7581
11/04/2018,8.79,8.79,2.81,8.52,8.47,8.76,8.83,57963195,6988
10/04/2018,8.55,8.55,1.91,8.55,8.44,8.53,8.65,45700978,8301
09/04/2018,8.39,8.39,-2.67,8.68,8.39,8.52,8.72,40322719,6353
06/04/2018,8.62,8.62,-2.82,8.83,8.56,8.67,8.87,56401118,8817
05/04/2018,8.87,8.87,3.14,8.85,8.75,8.85,8.95,65470160,9068
04/04/2018,8.6,8.6,-2.16,8.55,8.44,8.59,8.7,47398924,8064 
